Term,Sax String,ClusterId
4.0,10.0,6
4.0,10.0,6
9.0,10.0,52
6.0,10.0,0
4.0,10.0,6
8.0,10.0,10
4.0,10.0,6
4.0,10.0,6
4.0,10.0,6
13.0,10.0,21
5.0,10.0,1
6.0,10.0,0
8.0,10.0,10
10.0,10.0,5
5.0,10.0,1
10.0,10.0,5
5.0,10.0,1
3.0,10.0,16
10.0,10.0,5
10.0,10.0,5
8.0,10.0,10
12.0,9.0,2
5.0,10.0,1
9.0,10.0,52
7.0,10.0,3
10.0,10.0,5
7.0,10.0,3
6.0,10.0,0
7.0,10.0,3
7.0,10.0,3
6.0,10.0,0
5.0,10.0,1
13.0,10.0,21
4.0,10.0,6
5.0,10.0,1
8.0,10.0,10
8.0,10.0,10
10.0,10.0,5
10.0,10.0,5
13.0,10.0,21
6.0,10.0,0
9.0,10.0,52
13.0,10.0,21
9.0,10.0,52
4.0,10.0,6
10.0,10.0,5
6.0,10.0,0
15.0,9.0,33
7.0,10.0,3
5.0,10.0,1
4.0,10.0,6
14.0,10.0,33
10.0,10.0,5
13.0,10.0,21
9.0,10.0,52
7.0,10.0,3
6.0,10.0,0
6.0,10.0,0
10.0,10.0,5
5.0,10.0,1
11.0,10.0,8
9.0,10.0,52
9.0,10.0,52
8.0,10.0,10
12.0,10.0,2
12.0,10.0,2
9.0,10.0,52
4.0,10.0,6
7.0,10.0,3
9.0,10.0,52
13.0,10.0,21
8.0,10.0,10
6.0,10.0,0
9.0,10.0,52
6.0,10.0,0
8.0,10.0,10
4.0,10.0,6
4.0,10.0,6
4.0,9.0,53
7.0,9.0,3
6.0,10.0,0
4.0,10.0,6
7.0,10.0,3
4.0,10.0,6
7.0,10.0,3
4.0,10.0,6
6.0,10.0,0
10.0,9.0,39
10.0,10.0,5
4.0,9.0,53
4.0,9.0,53
5.0,10.0,1
12.0,10.0,2
4.0,10.0,6
11.0,10.0,8
10.0,9.0,39
4.0,10.0,6
9.0,10.0,52
10.0,10.0,5
6.0,10.0,0
10.0,10.0,5
10.0,10.0,5
5.0,10.0,1
8.0,9.0,81
9.0,10.0,52
5.0,9.0,34
5.0,10.0,1
5.0,10.0,1
9.0,10.0,52
7.0,10.0,3
4.0,9.0,53
7.0,10.0,3
7.0,10.0,3
6.0,10.0,0
25.0,10.0,61
9.0,10.0,52
4.0,10.0,6
6.0,10.0,0
12.0,10.0,2
9.0,10.0,52
11.0,10.0,8
5.0,10.0,1
10.0,10.0,5
8.0,10.0,10
4.0,10.0,6
9.0,10.0,52
9.0,10.0,52
4.0,10.0,6
10.0,10.0,5
13.0,10.0,21
8.0,10.0,10
4.0,9.0,53
9.0,10.0,52
12.0,10.0,2
6.0,10.0,0
7.0,10.0,3
10.0,10.0,5
4.0,10.0,6
9.0,10.0,52
10.0,10.0,5
6.0,10.0,0
5.0,10.0,1
10.0,9.0,39
6.0,9.0,69
13.0,10.0,21
8.0,10.0,10
10.0,10.0,5
14.0,10.0,33
9.0,10.0,52
9.0,10.0,52
9.0,10.0,52
9.0,10.0,52
3.0,10.0,16
6.0,9.0,69
5.0,10.0,1
7.0,10.0,3
9.0,10.0,52
3.0,10.0,16
8.0,10.0,10
5.0,9.0,34
12.0,10.0,2
4.0,10.0,6
10.0,10.0,5
7.0,10.0,3
8.0,10.0,10
13.0,10.0,21
2.0,10.0,16
9.0,10.0,52
3.0,10.0,16
5.0,10.0,1
7.0,10.0,3
11.0,10.0,8
9.0,10.0,52
5.0,10.0,1
9.0,10.0,52
5.0,10.0,1
9.0,10.0,52
12.0,10.0,2
6.0,10.0,0
10.0,10.0,5
11.0,10.0,8
9.0,10.0,52
10.0,9.0,39
11.0,10.0,8
8.0,10.0,10
9.0,10.0,52
8.0,10.0,10
8.0,10.0,10
10.0,10.0,5
9.0,10.0,52
10.0,10.0,5
13.0,9.0,21
8.0,10.0,10
7.0,10.0,3
8.0,10.0,10
10.0,10.0,5
9.0,10.0,52
7.0,10.0,3
4.0,10.0,6
7.0,10.0,3
4.0,9.0,53
11.0,10.0,8
4.0,9.0,53
4.0,9.0,53
6.0,9.0,69
4.0,9.0,53
6.0,10.0,0
6.0,10.0,0
8.0,10.0,10
5.0,10.0,1
9.0,10.0,52
13.0,10.0,21
10.0,10.0,5
8.0,10.0,10
3.0,10.0,16
8.0,10.0,10
8.0,10.0,10
6.0,10.0,0
7.0,10.0,3
8.0,9.0,81
12.0,10.0,2
10.0,10.0,5
4.0,9.0,53
10.0,10.0,5
4.0,9.0,53
7.0,9.0,3
6.0,10.0,0
7.0,10.0,3
10.0,10.0,5
7.0,10.0,3
5.0,10.0,1
5.0,10.0,1
10.0,10.0,5
9.0,10.0,52
10.0,10.0,5
9.0,10.0,52
10.0,10.0,5
8.0,10.0,10
8.0,10.0,10
12.0,10.0,2
11.0,10.0,8
8.0,10.0,10
12.0,10.0,2
6.0,10.0,0
5.0,10.0,1
7.0,10.0,3
7.0,10.0,3
10.0,10.0,5
8.0,10.0,10
6.0,10.0,0
6.0,10.0,0
8.0,10.0,10
8.0,10.0,10
7.0,10.0,3
5.0,10.0,1
9.0,10.0,52
4.0,10.0,6
6.0,10.0,0
9.0,10.0,52
8.0,10.0,10
8.0,9.0,81
5.0,10.0,1
5.0,10.0,1
8.0,10.0,10
7.0,10.0,3
10.0,10.0,5
9.0,10.0,52
12.0,9.0,2
12.0,10.0,2
9.0,10.0,52
6.0,10.0,0
11.0,10.0,8
9.0,10.0,52
11.0,10.0,8
8.0,10.0,10
10.0,10.0,5
4.0,10.0,6
5.0,10.0,1
9.0,10.0,52
8.0,10.0,10
4.0,10.0,6
7.0,10.0,3
10.0,10.0,5
5.0,10.0,1
12.0,10.0,2
10.0,10.0,5
6.0,10.0,0
10.0,10.0,5
9.0,10.0,52
4.0,10.0,6
5.0,10.0,1
6.0,9.0,69
13.0,10.0,21
6.0,9.0,69
4.0,10.0,6
14.0,10.0,33
4.0,10.0,6
9.0,10.0,52
8.0,10.0,10
5.0,10.0,1
4.0,10.0,6
10.0,10.0,5
7.0,10.0,3
10.0,10.0,5
9.0,10.0,52
9.0,10.0,52
5.0,10.0,1
11.0,10.0,8
10.0,10.0,5
4.0,10.0,6
12.0,10.0,2
12.0,10.0,2
5.0,10.0,1
10.0,10.0,5
12.0,10.0,2
5.0,10.0,1
9.0,10.0,52
10.0,10.0,5
9.0,10.0,52
9.0,10.0,52
10.0,10.0,5
7.0,10.0,3
6.0,10.0,0
11.0,10.0,8
4.0,10.0,6
9.0,10.0,52
7.0,10.0,3
12.0,10.0,2
4.0,10.0,6
10.0,10.0,5
6.0,10.0,0
5.0,10.0,1
4.0,10.0,6
10.0,10.0,5
10.0,10.0,5
10.0,10.0,5
9.0,10.0,52
9.0,10.0,52
4.0,10.0,6
8.0,10.0,10
10.0,10.0,5
5.0,10.0,1
5.0,9.0,34
3.0,9.0,144
10.0,10.0,5
7.0,10.0,3
8.0,10.0,10
11.0,10.0,8
5.0,10.0,1
8.0,10.0,10
7.0,10.0,3
9.0,10.0,52
12.0,10.0,2
9.0,10.0,52
12.0,10.0,2
10.0,10.0,5
6.0,10.0,0
4.0,10.0,6
7.0,10.0,3
6.0,10.0,0
10.0,10.0,5
6.0,10.0,0
9.0,10.0,52
6.0,10.0,0
3.0,10.0,16
5.0,10.0,1
6.0,10.0,0
8.0,10.0,10
3.0,10.0,16
26.0,10.0,61
4.0,10.0,6
9.0,10.0,52
7.0,10.0,3
6.0,10.0,0
10.0,10.0,5
7.0,10.0,3
8.0,10.0,10
6.0,10.0,0
11.0,10.0,8
10.0,10.0,5
11.0,10.0,8
10.0,10.0,5
9.0,10.0,52
12.0,10.0,2
9.0,10.0,52
7.0,10.0,3
6.0,10.0,0
9.0,10.0,52
4.0,10.0,6
7.0,10.0,3
4.0,10.0,6
9.0,10.0,52
9.0,10.0,52
8.0,10.0,10
10.0,10.0,5
6.0,10.0,0
4.0,9.0,53
7.0,10.0,3
5.0,10.0,1
7.0,10.0,3
9.0,10.0,52
5.0,10.0,1
10.0,10.0,5
4.0,10.0,6
7.0,10.0,3
4.0,10.0,6
3.0,10.0,16
4.0,10.0,6
9.0,10.0,52
5.0,10.0,1
11.0,10.0,8
4.0,9.0,53
4.0,10.0,6
4.0,10.0,6
8.0,10.0,10
10.0,10.0,5
9.0,10.0,52
7.0,10.0,3
4.0,10.0,6
5.0,9.0,34
9.0,10.0,52
7.0,10.0,3
9.0,10.0,52
9.0,10.0,52
4.0,9.0,53
11.0,10.0,8
4.0,10.0,6
4.0,10.0,6
10.0,10.0,5
5.0,9.0,34
10.0,10.0,5
10.0,10.0,5
15.0,10.0,33
9.0,10.0,52
5.0,10.0,1
11.0,10.0,8
8.0,10.0,10
4.0,10.0,6
5.0,9.0,34
5.0,10.0,1
5.0,10.0,1
7.0,10.0,3
4.0,10.0,6
7.0,10.0,3
6.0,10.0,0
5.0,10.0,1
5.0,10.0,1
4.0,10.0,6
10.0,10.0,5
7.0,10.0,3
4.0,10.0,6
11.0,10.0,8
6.0,10.0,0
5.0,10.0,1
9.0,10.0,52
13.0,10.0,21
7.0,10.0,3
6.0,10.0,0
8.0,10.0,10
13.0,10.0,21
13.0,10.0,21
6.0,10.0,0
11.0,10.0,8
3.0,10.0,16
7.0,10.0,3
4.0,10.0,6
8.0,10.0,10
13.0,10.0,21
5.0,10.0,1
6.0,10.0,0
5.0,10.0,1
6.0,10.0,0
3.0,10.0,16
5.0,10.0,1
6.0,10.0,0
9.0,10.0,52
6.0,10.0,0
8.0,10.0,10
9.0,10.0,52
5.0,10.0,1
5.0,10.0,1
10.0,10.0,5
9.0,10.0,52
8.0,10.0,10
5.0,10.0,1
5.0,10.0,1
6.0,9.0,69
6.0,10.0,0
9.0,10.0,52
13.0,10.0,21
7.0,10.0,3
7.0,10.0,3
9.0,10.0,52
7.0,10.0,3
10.0,10.0,5
9.0,10.0,52
10.0,10.0,5
7.0,10.0,3
3.0,10.0,16
4.0,10.0,6
12.0,10.0,2
9.0,10.0,52
6.0,10.0,0
6.0,10.0,0
6.0,10.0,0
6.0,10.0,0
9.0,10.0,52
6.0,10.0,0
12.0,10.0,2
4.0,10.0,6
10.0,10.0,5
9.0,10.0,52
8.0,10.0,10
5.0,10.0,1
7.0,10.0,3
3.0,9.0,144
6.0,10.0,0
4.0,9.0,53
11.0,10.0,8
4.0,10.0,6
10.0,10.0,5
9.0,10.0,52
10.0,10.0,5
5.0,10.0,1
9.0,10.0,52
10.0,10.0,5
10.0,10.0,5
5.0,10.0,1
10.0,10.0,5
5.0,10.0,1
12.0,10.0,2
9.0,10.0,52
13.0,10.0,21
9.0,10.0,52
4.0,10.0,6
9.0,10.0,52
6.0,10.0,0
9.0,10.0,52
7.0,10.0,3
9.0,10.0,52
5.0,10.0,1
10.0,10.0,5
7.0,10.0,3
4.0,10.0,6
5.0,10.0,1
4.0,10.0,6
14.0,10.0,33
6.0,10.0,0
9.0,10.0,52
5.0,9.0,34
4.0,10.0,6
6.0,9.0,69
8.0,10.0,10
9.0,10.0,52
10.0,9.0,39
7.0,10.0,3
3.0,10.0,16
7.0,10.0,3
5.0,10.0,1
12.0,10.0,2
5.0,10.0,1
11.0,10.0,8
10.0,10.0,5
8.0,10.0,10
10.0,10.0,5
6.0,10.0,0
6.0,10.0,0
6.0,10.0,0
13.0,10.0,21
11.0,10.0,8
10.0,10.0,5
10.0,10.0,5
7.0,10.0,3
10.0,10.0,5
9.0,10.0,52
3.0,9.0,144
5.0,10.0,1
10.0,10.0,5
3.0,10.0,16
4.0,10.0,6
10.0,9.0,39
12.0,10.0,2
8.0,10.0,10
5.0,10.0,1
12.0,10.0,2
8.0,10.0,10
5.0,10.0,1
13.0,10.0,21
4.0,10.0,6
4.0,10.0,6
8.0,10.0,10
10.0,10.0,5
11.0,10.0,8
9.0,10.0,52
9.0,10.0,52
10.0,10.0,5
8.0,10.0,10
4.0,10.0,6
11.0,9.0,28
7.0,10.0,3
5.0,10.0,1
7.0,10.0,3
12.0,10.0,2
6.0,10.0,0
8.0,10.0,10
9.0,10.0,52
12.0,10.0,2
12.0,10.0,2
6.0,10.0,0
6.0,10.0,0
6.0,9.0,69
10.0,10.0,5
7.0,10.0,3
6.0,10.0,0
4.0,10.0,6
6.0,10.0,0
10.0,10.0,5
8.0,10.0,10
8.0,10.0,10
14.0,10.0,33
10.0,10.0,5
9.0,10.0,52
9.0,10.0,52
9.0,10.0,52
12.0,10.0,2
7.0,10.0,3
10.0,10.0,5
9.0,10.0,52
7.0,10.0,3
8.0,9.0,81
5.0,10.0,1
8.0,10.0,10
6.0,10.0,0
8.0,10.0,10
8.0,10.0,10
7.0,10.0,3
10.0,10.0,5
7.0,9.0,3
14.0,10.0,33
9.0,10.0,52
9.0,10.0,52
6.0,10.0,0
7.0,10.0,3
4.0,10.0,6
8.0,10.0,10
5.0,10.0,1
13.0,10.0,21
9.0,10.0,52
6.0,10.0,0
14.0,10.0,33
6.0,10.0,0
5.0,10.0,1
5.0,10.0,1
9.0,10.0,52
5.0,10.0,1
6.0,10.0,0
4.0,10.0,6
6.0,10.0,0
3.0,10.0,16
4.0,10.0,6
4.0,10.0,6
6.0,10.0,0
10.0,10.0,5
4.0,10.0,6
5.0,10.0,1
8.0,10.0,10
8.0,10.0,10
12.0,10.0,2
11.0,10.0,8
10.0,10.0,5
5.0,10.0,1
10.0,10.0,5
4.0,10.0,6
12.0,10.0,2
10.0,10.0,5
4.0,10.0,6
9.0,10.0,52
7.0,10.0,3
5.0,10.0,1
6.0,10.0,0
5.0,10.0,1
11.0,10.0,8
6.0,10.0,0
10.0,10.0,5
6.0,10.0,0
5.0,10.0,1
14.0,10.0,33
8.0,10.0,10
10.0,10.0,5
9.0,10.0,52
7.0,10.0,3
7.0,10.0,3
8.0,9.0,81
6.0,10.0,0
5.0,10.0,1
7.0,10.0,3
6.0,10.0,0
6.0,10.0,0
4.0,9.0,53
8.0,9.0,81
8.0,10.0,10
10.0,10.0,5
7.0,10.0,3
10.0,10.0,5
8.0,10.0,10
6.0,10.0,0
9.0,10.0,52
12.0,10.0,2
6.0,10.0,0
4.0,10.0,6
5.0,10.0,1
9.0,10.0,52
9.0,10.0,52
4.0,10.0,6
7.0,10.0,3
4.0,10.0,6
7.0,10.0,3
6.0,10.0,0
9.0,10.0,52
8.0,10.0,10
4.0,10.0,6
15.0,10.0,33
7.0,10.0,3
9.0,10.0,52
8.0,10.0,10
8.0,10.0,10
6.0,10.0,0
9.0,10.0,52
7.0,10.0,3
7.0,10.0,3
7.0,10.0,3
10.0,10.0,5
5.0,10.0,1
13.0,9.0,21
6.0,10.0,0
9.0,10.0,52
10.0,10.0,5
10.0,10.0,5
11.0,10.0,8
8.0,10.0,10
6.0,10.0,0
5.0,10.0,1
12.0,10.0,2
5.0,10.0,1
9.0,10.0,52
10.0,10.0,5
5.0,10.0,1
4.0,10.0,6
13.0,10.0,21
11.0,10.0,8
7.0,10.0,3
10.0,10.0,5
12.0,10.0,2
5.0,10.0,1
7.0,10.0,3
5.0,10.0,1
11.0,10.0,8
9.0,10.0,52
5.0,10.0,1
8.0,9.0,81
4.0,10.0,6
8.0,10.0,10
15.0,10.0,33
9.0,10.0,52
5.0,10.0,1
9.0,10.0,52
11.0,10.0,8
3.0,10.0,16
4.0,10.0,6
5.0,10.0,1
7.0,10.0,3
10.0,10.0,5
6.0,10.0,0
4.0,10.0,6
10.0,10.0,5
4.0,9.0,53
5.0,10.0,1
10.0,10.0,5
3.0,9.0,144
4.0,10.0,6
7.0,10.0,3
7.0,10.0,3
9.0,10.0,52
9.0,10.0,52
9.0,10.0,52
7.0,10.0,3
6.0,10.0,0
10.0,10.0,5
5.0,9.0,34
5.0,9.0,34
11.0,10.0,8
5.0,9.0,34
9.0,10.0,52
9.0,10.0,52
13.0,10.0,21
5.0,10.0,1
10.0,10.0,5
7.0,10.0,3
9.0,10.0,52
4.0,10.0,6
6.0,10.0,0
8.0,10.0,10
5.0,10.0,1
10.0,10.0,5
18.0,10.0,33
10.0,10.0,5
8.0,10.0,10
10.0,10.0,5
9.0,10.0,52
13.0,10.0,21
5.0,10.0,1
7.0,10.0,3
4.0,10.0,6
6.0,10.0,0
6.0,10.0,0
9.0,10.0,52
6.0,10.0,0
10.0,10.0,5
7.0,10.0,3
9.0,10.0,52
6.0,10.0,0
6.0,10.0,0
6.0,10.0,0
3.0,10.0,16
6.0,10.0,0
9.0,10.0,52
12.0,10.0,2
7.0,10.0,3
8.0,10.0,10
6.0,10.0,0
6.0,10.0,0
3.0,10.0,16
9.0,10.0,52
9.0,10.0,52
5.0,10.0,1
4.0,10.0,6
4.0,10.0,6
4.0,10.0,6
11.0,10.0,8
11.0,10.0,8
7.0,10.0,3
9.0,10.0,52
10.0,10.0,5
10.0,10.0,5
9.0,10.0,52
4.0,10.0,6
6.0,10.0,0
9.0,10.0,52
11.0,10.0,8
5.0,10.0,1
4.0,10.0,6
9.0,10.0,52
9.0,10.0,52
8.0,10.0,10
6.0,9.0,69
7.0,10.0,3
9.0,10.0,52
10.0,10.0,5
6.0,10.0,0
10.0,10.0,5
12.0,10.0,2
8.0,10.0,10
9.0,10.0,52
6.0,10.0,0
9.0,10.0,52
6.0,10.0,0
6.0,10.0,0
7.0,10.0,3
4.0,10.0,6
6.0,10.0,0
9.0,10.0,52
8.0,10.0,10
12.0,10.0,2
7.0,10.0,3
6.0,10.0,0
17.0,10.0,33
7.0,10.0,3
5.0,10.0,1
5.0,10.0,1
5.0,10.0,1
8.0,9.0,81
6.0,10.0,0
7.0,10.0,3
9.0,10.0,52
7.0,10.0,3
4.0,9.0,53
10.0,10.0,5
7.0,10.0,3
9.0,10.0,52
5.0,9.0,34
7.0,10.0,3
9.0,10.0,52
5.0,10.0,1
10.0,10.0,5
4.0,10.0,6
10.0,10.0,5
6.0,10.0,0
4.0,9.0,53
3.0,10.0,16
8.0,10.0,10
5.0,10.0,1
6.0,9.0,69
6.0,9.0,69
7.0,10.0,3
4.0,10.0,6
53.0,9.0,61
6.0,9.0,69
8.0,10.0,10
8.0,10.0,10
8.0,10.0,10
11.0,10.0,8
6.0,10.0,0
9.0,10.0,52
6.0,10.0,0
9.0,10.0,52
12.0,10.0,2
6.0,10.0,0
6.0,10.0,0
9.0,10.0,52
6.0,10.0,0
6.0,10.0,0
8.0,10.0,10
5.0,10.0,1
5.0,9.0,34
9.0,10.0,52
12.0,10.0,2
9.0,10.0,52
11.0,10.0,8
6.0,10.0,0
8.0,10.0,10
5.0,10.0,1
4.0,10.0,6
10.0,10.0,5
7.0,10.0,3
5.0,10.0,1
9.0,10.0,52
9.0,10.0,52
10.0,10.0,5
10.0,10.0,5
8.0,10.0,10
7.0,10.0,3
8.0,10.0,10
4.0,9.0,53
8.0,9.0,81
5.0,10.0,1
8.0,10.0,10
9.0,10.0,52
6.0,10.0,0
8.0,10.0,10
7.0,10.0,3
4.0,10.0,6
4.0,10.0,6
9.0,10.0,52
3.0,10.0,16
4.0,10.0,6
8.0,10.0,10
7.0,10.0,3
8.0,10.0,10
7.0,10.0,3
4.0,10.0,6
10.0,10.0,5
3.0,10.0,16
10.0,9.0,39
7.0,10.0,3
5.0,10.0,1
3.0,10.0,16
5.0,10.0,1
14.0,10.0,33
6.0,10.0,0
3.0,10.0,16
7.0,9.0,3
12.0,10.0,2
4.0,9.0,53
9.0,10.0,52
3.0,10.0,16
9.0,10.0,52
8.0,10.0,10
4.0,10.0,6
10.0,10.0,5
5.0,10.0,1
11.0,10.0,8
9.0,10.0,52
10.0,10.0,5
9.0,10.0,52
6.0,10.0,0
9.0,10.0,52
8.0,10.0,10
9.0,10.0,52
10.0,10.0,5
5.0,10.0,1
10.0,10.0,5
7.0,10.0,3
5.0,9.0,34
6.0,10.0,0
6.0,10.0,0
11.0,10.0,8
8.0,10.0,10
11.0,10.0,8
6.0,10.0,0
6.0,10.0,0
8.0,10.0,10
10.0,10.0,5
5.0,10.0,1
9.0,10.0,52
5.0,10.0,1
8.0,9.0,81
4.0,10.0,6
9.0,10.0,52
3.0,10.0,16
5.0,10.0,1
11.0,10.0,8
10.0,10.0,5
6.0,9.0,69
9.0,10.0,52
9.0,10.0,52
10.0,10.0,5
5.0,10.0,1
4.0,10.0,6
4.0,10.0,6
9.0,10.0,52
7.0,10.0,3
7.0,10.0,3
9.0,10.0,52
9.0,10.0,52
11.0,10.0,8
25.0,10.0,61
5.0,10.0,1
4.0,10.0,6
8.0,10.0,10
10.0,10.0,5
10.0,9.0,39
9.0,10.0,52
10.0,10.0,5
6.0,10.0,0
9.0,10.0,52
5.0,10.0,1
4.0,10.0,6
4.0,10.0,6
4.0,10.0,6
9.0,10.0,52
5.0,10.0,1
4.0,10.0,6
4.0,10.0,6
6.0,10.0,0
11.0,10.0,8
9.0,10.0,52
8.0,10.0,10
5.0,10.0,1
8.0,10.0,10
7.0,10.0,3
9.0,10.0,52
4.0,10.0,6
11.0,10.0,8
4.0,10.0,6
8.0,10.0,10
6.0,10.0,0
6.0,10.0,0
8.0,10.0,10
7.0,10.0,3
4.0,10.0,6
7.0,10.0,3
4.0,10.0,6
9.0,9.0,39
6.0,10.0,0
11.0,10.0,8
6.0,10.0,0
11.0,10.0,8
9.0,10.0,52
6.0,10.0,0
4.0,10.0,6
7.0,10.0,3
11.0,10.0,8
6.0,10.0,0
5.0,9.0,34
11.0,10.0,8
7.0,10.0,3
5.0,10.0,1
13.0,10.0,21
12.0,9.0,2
4.0,10.0,6
9.0,10.0,52
6.0,10.0,0
12.0,10.0,2
6.0,10.0,0
4.0,9.0,53
8.0,9.0,81
6.0,10.0,0
10.0,10.0,5
8.0,10.0,10
5.0,10.0,1
3.0,9.0,144
10.0,10.0,5
12.0,10.0,2
5.0,10.0,1
3.0,10.0,16
8.0,10.0,10
4.0,9.0,53
6.0,10.0,0
6.0,9.0,69
6.0,10.0,0
10.0,10.0,5
4.0,9.0,53
11.0,10.0,8
4.0,10.0,6
9.0,10.0,52
5.0,10.0,1
29.0,10.0,61
10.0,10.0,5
6.0,10.0,0
11.0,10.0,8
11.0,10.0,8
9.0,10.0,52
